name,code,lines,is_interchange,latitude,longitude
one-north,CC23,CCL,false,1.2996,103.7873
Kent Ridge,CC24,CCL,false,1.2937,103.7846
Haw Par Villa,CC25,CCL,false,1.2825,103.7820
Pasir Panjang,CC26,CCL,false,1.2761,103.7917
Labrador Park,CC27,CCL,false,1.2720,103.8025
Telok Blangah,CC28,CCL,false,1.2706,103.8098
Bukit Panjang,DT1|BP6,DTL|BPL,true,1.3786,103.7618
Cashew,DT2,DTL,false,1.3696,103.7644
Hillview,DT3,DTL,false,1.3626,103.7676
Beauty World,DT5,DTL,false,1.3413,103.7760
King Albert Park,DT6,DTL,false,1.3354,103.7833
Sixth Avenue,DT7,DTL,false,1.3307,103.7972
Tan Kah Kee,DT8,DTL,false,1.3257,103.8073
Stevens,DT10|TE11,DTL|TEL,true,1.3198,103.8261
Rochor,DT13,DTL,false,1.3037,103.8525
Downtown,DT17,DTL,false,1.2793,103.8527
Telok Ayer,DT18,DTL,false,1.2820,103.8485
Fort Canning,DT20,DTL,false,1.2924,103.8444
Bencoolen,DT21,DTL,false,1.2988,103.8498
Jalan Besar,DT22,DTL,false,1.3055,103.8553
Bendemeer,DT23,DTL,false,1.3135,103.8631
Geylang Bahru,DT24,DTL,false,1.3214,103.8717
Mattar,DT25,DTL,false,1.3268,103.8831
Ubi,DT27,DTL,false,1.3299,103.8994
Kaki Bukit,DT28,DTL,false,1.3349,103.9082
Bedok North,DT29,DTL,false,1.3345,103.9181
Bedok Reservoir,DT30,DTL,false,1.3368,103.9322
Tampines West,DT31,DTL,false,1.3462,103.9381
Tampines East,DT33,DTL,false,1.3561,103.9545
Upper Changi,DT34,DTL,false,1.3417,103.9614
Expo,DT35|CG1,DTL|CGL,true,1.3352,103.9614
Woodlands North,TE1,TEL,false,1.4483,103.7854
Woodlands South,TE3,TEL,false,1.4269,103.7934
Springleaf,TE4,TEL,false,1.3975,103.8183
Lentor,TE5,TEL,false,1.3847,103.8363
Mayflower,TE6,TEL,false,1.3714,103.8381
Bright Hill,TE7,TEL,false,1.3635,103.8335
Upper Thomson,TE8,TEL,false,1.3541,103.8363
Mount Pleasant,TE10,TEL,false,1.3273,103.8347
Napier,TE12,TEL,false,1.3066,103.8239
Great World,TE15,TEL,false,1.2898,103.8351
Havelock,TE16,TEL,false,1.2847,103.8367
Maxwell,TE18,TEL,false,1.2797,103.8447
Shenton Way,TE19,TEL,false,1.2765,103.8503
Gardens by the Bay,TE22,TEL,false,1.2795,103.8664
Tanjong Rhu,TE23,TEL,false,1.2964,103.8728
Katong Park,TE24,TEL,false,1.2973,103.8843
Tanjong Katong,TE25,TEL,false,1.3010,103.8938
Marine Parade,TE26,TEL,false,1.3024,103.9045
Marine Terrace,TE27,TEL,false,1.3063,103.9137
Siglap,TE28,TEL,false,1.3114,103.9254
Bayshore,TE29,TEL,false,1.3152,103.9397
Punggol Coast,NE18,NEL,false,1.4149,103.9102
Hume,DT4,DTL,false,1.3546,103.7692
